time,open,high,low,close,Volume
1502928000,4261.48,4485.39,4200.74,4285.08,795.150377
1503014400,4285.08,4371.52,3938.77,4108.37,1199.888264
1503100800,4108.37,4184.69,3850,4139.98,381.309763
1503187200,4120.98,4211.08,4032.62,4086.29,467.083022
1503273600,4069.13,4119.62,3911.79,4016,691.74306
1503360000,4016,4104.82,3400,4040,966.684858
1503446400,4040,4265.8,4013.89,4114.01,1001.136565
1503532800,4147,4371.68,4085.01,4316.01,787.418753
1503619200,4316.01,4453.91,4247.48,4280.68,573.61274
1503705600,4280.71,4367,4212.41,4337.44,228.108068
1503792000,4332.51,4400,4285.54,4310.01,350.692585
1503878400,4310.01,4399.82,4124.54,4386.69,603.841616
1503964800,4353.65,4625.85,4313.55,4587.48,603.545028
1504051200,4564.52,4647.51,4416.01,4555.14,808.468771
1504137600,4555.14,4745.42,4555.14,4724.89,556.956802
1504224000,4689.89,4885.55,4654.88,4834.91,560.666366
1504310400,4796.16,4939.19,4286.87,4472.14,929.148595
1504396800,4508.5,4714.76,4298.33,4509.08,691.216198
1504483200,4505,4527.49,3972.51,4100.11,1394.644614
1504569600,4106.97,4484.99,3603,4366.47,1228.938157
1504656000,4366.49,4662.87,4335.26,4619.77,807.363726
1504742400,4619.77,4788.59,4438.19,4691.61,500.429975
1504828800,4691.66,4735.39,4028.93,4282.8,1132.255046
1504915200,4282.8,4426.62,4150.06,4258.81,658.782952
1505001600,4258.81,4283,3801,4130.37,660.373275
1505088000,4153.62,4334.43,4098.91,4208.47,699.989065
1505174400,4208.6,4394.59,4040.8,4163.72,879.630319
1505260800,4159.72,4165.38,3760,3944.69,913.462545
1505347200,3944,3993,3165.13,3189.02,1665.021543
1505433600,3188.01,3856,2817,3700,1968.866492
1505520000,3674.01,3950,3470.66,3714.95,1297.563953
1505606400,3685.23,3748.21,3499.02,3699.99,682.17121
1505692800,3690,4123.2,3690,4035.01,1030.006455
1505779200,4060,4089.97,3830.91,3910.04,902.332129
1505865600,3910.04,4046.08,3820,3900,720.935076
1505952000,3889.99,3910,3567,3609.99,1001.654084
1506038400,3592.84,3750,3505.55,3595.87,838.966425
1506124800,3595.88,3817.19,3542.91,3780,752.792791
1506211200,3779.54,3789.99,3622.76,3660.02,661.63639
1506297600,3660.02,3979.87,3653.69,3920.75,727.994713
1506384000,3928,3976.99,3850.05,3882.35,526.727987
1506470400,3882.36,4249.94,3872.81,4193,628.170966
1506556800,4192.11,4300,4101,4174.5,849.785325
1506643200,4178.98,4263.86,3952.01,4174.69,1602.309565
